index,positiveword,counter
1610,simplifying,0
1611,sincere,0
1612,sincerely,0
1613,sincerity,0
1614,skill,0
1615,skilled,0
1616,skillful,0
1617,skillfully,0
1618,slammin,0
1619,sleek,0
1620,slick,0
1621,smart,0
1622,smarter,0
1623,smartest,0
1624,smartly,0
1625,smile,0
1626,smiles,0
1627,smiling,0
1628,smilingly,0
1629,smitten,0
1630,smooth,0
1631,smoother,0
1632,smoothes,0
1633,smoothest,0
1634,smoothly,0
1635,snappy,0
1636,snazzy,0
1637,sociable,0
1638,soft,0
1639,softer,0
1640,solace,0
1641,solicitous,0
1642,solicitously,0
1643,solid,0
1644,solidarity,0
1645,soothe,0
1646,soothingly,0
1647,sophisticated,0
1648,soulful,0
1649,soundly,0
1650,soundness,0
1651,spacious,0
1652,sparkle,0
1653,sparkling,0
1654,spectacular,0
1655,spectacularly,0
1656,speedily,0
1657,speedy,0
1658,spellbind,0
1659,spellbinding,0
1660,spellbindingly,0
1661,spellbound,0
1662,spirited,0
1663,spiritual,0
1664,splendid,0
1665,splendidly,0
1666,splendor,0
1667,spontaneous,0
1668,sporty,0
1669,spotless,0
1670,sprightly,0
1671,stability,0
1672,stabilize,0
1673,stable,0
1674,stainless,0
1675,standout,0
1676,state-of-the-art,0
1677,stately,0
1678,statuesque,0
1679,staunch,0
1680,staunchly,0
1681,staunchness,0
1682,steadfast,0
1683,steadfastly,0
1684,steadfastness,0
1685,steadiest,0
1686,steadiness,0
1687,steady,0
1688,stellar,0
1689,stellarly,0
1690,stimulate,0
1691,stimulates,0
1692,stimulating,0
1693,stimulative,0
1694,stirringly,0
1695,straighten,0
1696,straightforward,0
1697,streamlined,0
1698,striking,0
1699,strikingly,0
1700,striving,0
1701,strong,0
1702,stronger,0
1703,strongest,0
1704,stunned,0
1705,stunning,0
1706,stunningly,0
1707,stupendous,0
1708,stupendously,0
1709,sturdier,0
1710,sturdy,0
1711,stylish,0
1712,stylishly,0
1713,stylized,0
1714,suave,0
1715,suavely,0
1716,sublime,0
1717,subsidize,0
1718,subsidized,0
1719,subsidizes,0
1720,subsidizing,0
1721,substantive,0
1722,succeed,0
1723,succeeded,0
1724,succeeding,0
1725,succeeds,0
1726,succes,0
1727,success,0
1728,successes,0
1729,successful,0
1730,successfully,0
1731,suffice,0
1732,sufficed,0
1733,suffices,0
1734,sufficient,0
1735,sufficiently,0
1736,suitable,0
1737,sumptuous,0
1738,sumptuously,0
1739,sumptuousness,0
1740,super,0
1741,superb,0
1742,superbly,0
1743,superior,0
1744,superiority,0
1745,supple,0
1746,support,0
1747,supported,0
1748,supporter,0
1749,supporting,0
1750,supportive,0
1751,supports,0
1752,supremacy,0
1753,supreme,0
1754,supremely,0
1755,supurb,0
1756,supurbly,0
1757,surmount,0
1758,surpass,0
1759,surreal,0
1760,survival,0
1761,survivor,0
1762,sustainability,0
1763,sustainable,0
1764,swank,0
1765,swankier,0
1766,swankiest,0
1767,swanky,0
1768,sweeping,0
1769,sweet,0
1770,sweeten,0
1771,sweetheart,0
1772,sweetly,0
1773,sweetness,0
1774,swift,0
1775,swiftness,0
1776,talent,0
1777,talented,0
1778,talents,0
1779,tantalize,0
1780,tantalizing,0
1781,tantalizingly,0
1782,tempt,0
1783,tempting,0
1784,temptingly,0
1785,tenacious,0
1786,tenaciously,0
1787,tenacity,0
1788,tender,0
1789,tenderly,0
1790,terrific,0
1791,terrifically,0
1792,thank,0
1793,thankful,0
1794,thinner,0
1795,thoughtful,0
1796,thoughtfully,0
1797,thoughtfulness,0
1798,thrift,0
1799,thrifty,0
1800,thrill,0
1801,thrilled,0
1802,thrilling,0
1803,thrillingly,0
1804,thrills,0
1805,thrive,0
1806,thriving,0
1807,thumb-up,0
1808,thumbs-up,0
1809,tickle,0
1810,tidy,0
1811,time-honored,0
1812,timely,0
1813,tingle,0
1814,titillate,0
1815,titillating,0
1816,titillatingly,0
1817,togetherness,0
1818,tolerable,0
1819,toll-free,0
1820,top,0
1821,top-notch,0
1822,top-quality,0
1823,topnotch,0
1824,tops,0
1825,tough,0
1826,tougher,0
1827,toughest,0
1828,traction,0
1829,tranquil,0
1830,tranquility,0
1831,transparent,0
1832,treasure,0
1833,tremendously,0
1834,trendy,0
1835,triumph,0
1836,triumphal,0
1837,triumphant,0
1838,triumphantly,0
1839,trivially,0
1840,trophy,0
1841,trouble-free,0
1842,trump,0
1843,trumpet,0
1844,trust,0
1845,trusted,0
1846,trusting,0
1847,trustingly,0
1848,trustworthiness,0
1849,trustworthy,0
1850,trusty,0
1851,truthful,0
1852,truthfully,0
1853,truthfulness,0
1854,twinkly,0
1855,ultra-crisp,0
1856,unabashed,0
1857,unabashedly,0
1858,unaffected,0
1859,unassailable,0
1860,unbeatable,0
1861,unbiased,0
1862,unbound,0
1863,uncomplicated,0
1864,unconditional,0
1865,undamaged,0
1866,undaunted,0
1867,understandable,0
1868,undisputable,0
1869,undisputably,0
1870,undisputed,0
1871,unencumbered,0
1872,unequivocal,0
1873,unequivocally,0
1874,unfazed,0
1875,unfettered,0
1876,unforgettable,0
1877,unity,0
1878,unlimited,0
1879,unmatched,0
1880,unparalleled,0
1881,unquestionable,0
1882,unquestionably,0
1883,unreal,0
1884,unrestricted,0
1885,unrivaled,0
1886,unselfish,0
1887,unwavering,0
1888,upbeat,0
1889,upgradable,0
1890,upgradeable,0
1891,upgraded,0
1892,upheld,0
1893,uphold,0
1894,uplift,0
1895,uplifting,0
1896,upliftingly,0
1897,upliftment,0
1898,upscale,0
1899,usable,0
1900,useable,0
1901,useful,0
1902,user-friendly,0
1903,user-replaceable,0
1904,valiant,0
1905,valiantly,0
1906,valor,0
1907,valuable,0
1908,variety,0
1909,venerate,0
1910,verifiable,0
1911,veritable,0
1912,versatile,0
1913,versatility,0
1914,vibrant,0
1915,vibrantly,0
1916,victorious,0
1917,victory,0
1918,viewable,0
1919,vigilance,0
1920,vigilant,0
1921,virtue,0
1922,virtuous,0
1923,virtuously,0
1924,visionary,0
1925,vivacious,0
1926,vivid,0
1927,vouch,0
1928,vouchsafe,0
1929,warm,0
1930,warmer,0
1931,warmhearted,0
1932,warmly,0
1933,warmth,0
1934,wealthy,0
1935,welcome,0
1936,well,0
1937,well-backlit,0
1938,well-balanced,0
1939,well-behaved,0
1940,well-being,0
1941,well-bred,0
1942,well-connected,0
1943,well-educated,0
1944,well-established,0
1945,well-informed,0
1946,well-intentioned,0
1947,well-known,0
1948,well-made,0
1949,well-managed,0
1950,well-mannered,0
1951,well-positioned,0
1952,well-received,0
1953,well-regarded,0
1954,well-rounded,0
1955,well-run,0
1956,well-wishers,0
1957,wellbeing,0
1958,whoa,0
1959,wholeheartedly,0
1960,wholesome,0
1961,whooa,0
1962,whoooa,0
1963,wieldy,0
1964,willing,0
1965,willingly,0
1966,willingness,0
1967,win,0
1968,windfall,0
1969,winnable,0
1970,winner,0
1971,winners,0
1972,winning,0
1973,wins,0
1974,wisdom,0
1975,wise,0
1976,wisely,0
1977,witty,0
1978,won,0
1979,wonder,0
1980,wonderful,0
1981,wonderfully,0
1982,wonderous,0
1983,wonderously,0
1984,wonders,0
1985,wondrous,0
1986,woo,0
1987,work,0
1988,workable,0
1989,worked,0
1990,works,0
1991,world-famous,0
1992,worth,0
1993,worth-while,0
1994,worthiness,0
1995,worthwhile,0
1996,worthy,0
1997,wow,0
1998,wowed,0
1999,wowing,0
2000,wows,0
2001,yay,0
2002,youthful,0
2003,zeal,0
2004,zenith,0
2005,zest,0
2006,zippy,0
